response_time_ms,message_size_bytes,worker_id_encoded,endpoint_encoded,status_encoded,hour,day_of_week,anomaly_score,prediction
0.0,0,0,0,0,22,0,-0.26607683232763346,Anomaly
81.42,177,0,0,1,4,1,-0.0031686866268664238,Anomaly
98.44,175,0,0,1,4,1,0.012674746507465584,Normal
189.11,172,0,0,1,5,1,0.21441908949154265,Normal
96.17,170,0,0,1,5,1,0.16318895260673855,Normal
120.79,172,0,0,1,5,1,0.2374610945047454,Normal
62.05,174,0,0,1,5,1,0.20153523536236678,Normal
197.58,175,0,0,1,5,1,0.20517504064963094,Normal
81.04,171,0,0,1,5,1,0.19935464509624268,Normal
158.16,170,0,0,1,5,1,0.1563516409813308,Normal
63.2,175,0,0,1,5,1,0.19862220770565192,Normal
132.79,177,0,0,1,5,1,0.20781605866454256,Normal
125.06,171,0,0,1,5,1,0.20586864101848484,Normal
101.16,172,0,0,1,5,1,0.23724898561947894,Normal
128.53,173,0,0,1,5,1,0.24530040539384101,Normal
259.38,173,0,0,1,5,1,0.15890318122242064,Normal
109.4,173,0,0,1,5,1,0.23998543394690092,Normal
174.93,174,0,0,1,5,1,0.2217523854741248,Normal
63.08,172,0,0,1,5,1,0.224111201267314,Normal
203.34,178,0,0,1,5,1,0.16295236298352184,Normal
78.55,172,0,0,1,5,1,0.23044861773434822,Normal
153.99,173,0,0,1,5,1,0.2437167327886507,Normal
127.18,173,0,0,1,5,1,0.2447612345463877,Normal
152.07,173,0,0,1,5,1,0.2437167327886507,Normal
122.63,174,0,0,1,5,1,0.228280810680834,Normal
197.12,177,0,0,1,5,1,0.18604031407971244,Normal
138.56,173,0,0,1,5,1,0.24540209158642218,Normal
341.17,176,0,0,1,5,1,0.06183788378158939,Normal
65.66,172,0,0,1,5,1,0.22589485102715534,Normal
109.27,173,0,0,1,5,1,0.23998543394690092,Normal
180.01,175,0,0,1,5,1,0.21577632439484573,Normal
80.88,177,0,0,1,5,1,0.19936306543327448,Normal
138.3,176,0,0,1,5,1,0.22348632026926485,Normal
153.17,174,0,0,1,5,1,0.228369693119769,Normal
92.93,172,0,0,1,5,1,0.23104114868754727,Normal
145.24,173,0,0,1,5,1,0.2440341088220377,Normal
123.97,173,0,0,1,5,1,0.2448897023742957,Normal
69.66,177,0,0,1,5,1,0.19614183403231433,Normal
87.78,177,0,0,1,5,1,0.19912553375128333,Normal
92.22,177,0,0,1,5,1,0.2034148745113633,Normal
68.77,172,0,0,1,5,1,0.22779441246723658,Normal
138.07,172,0,0,1,5,1,0.23131608837232243,Normal
204.48,171,0,0,1,5,1,0.1657499326654494,Normal
114.83,173,0,0,1,5,1,0.2421057948133325,Normal
96.91,172,0,0,1,5,1,0.23587410532634073,Normal
145.45,174,0,0,1,5,1,0.22899761174266525,Normal
112.92,176,0,0,1,5,1,0.22213253555288975,Normal
121.9,173,0,0,1,5,1,0.24507874835203597,Normal
124.7,178,0,0,1,5,1,0.19071143304428462,Normal
181.36,173,0,0,1,5,1,0.23598168030387784,Normal
158.31,177,0,0,1,5,1,0.20257519249040357,Normal
161.12,172,0,0,1,5,1,0.22498481701525802,Normal
97.82,172,0,0,1,5,1,0.23587410532634073,Normal
63.94,172,0,0,1,5,1,0.22444567816794658,Normal
129.13,176,0,0,1,5,1,0.22494651378855818,Normal
61.82,173,0,0,1,5,1,0.22080440987330857,Normal
149.24,174,0,0,1,5,1,0.2285284513444057,Normal
121.88,178,0,0,1,5,1,0.18982409956651264,Normal
199.89,173,0,0,1,5,1,0.22667429551274038,Normal
72.09,175,0,0,1,5,1,0.2059545739723727,Normal
164.55,173,0,0,1,5,1,0.23938326694570178,Normal
99.72,172,0,0,1,5,1,0.23657111858292168,Normal
122.87,173,0,0,1,5,1,0.24431377510386026,Normal
196.59,173,0,0,1,5,1,0.2278766106029016,Normal
76.42,172,0,0,1,5,1,0.2306381590733116,Normal
201.18,173,0,0,1,5,1,0.22374015334492608,Normal
205.64,176,0,0,1,5,1,0.1974918687209521,Normal
184.26,173,0,0,1,5,1,0.2357236950305402,Normal
64.17,172,0,0,1,5,1,0.22444567816794658,Normal
106.44,172,0,0,1,5,1,0.23532549252853752,Normal
193.94,173,0,0,1,5,1,0.2283529264533738,Normal
128.36,176,0,0,1,5,1,0.22494651378855818,Normal
189.29,176,0,0,1,5,1,0.21389630385900849,Normal
140.34,173,0,0,1,5,1,0.24540209158642218,Normal
181.7,178,0,0,1,5,1,0.1789246879124789,Normal
150.15,171,0,0,1,5,1,0.197913786026084,Normal
172.3,173,0,0,1,5,1,0.23734160807722743,Normal
72.33,172,0,0,1,5,1,0.22960529518215045,Normal
184.47,173,0,0,1,5,1,0.2357236950305402,Normal
140.54,173,0,0,1,5,1,0.24540209158642218,Normal
89.78,177,0,0,1,5,1,0.2026902765220675,Normal
136.6,176,0,0,1,5,1,0.22348632026926485,Normal
171.77,173,0,0,1,5,1,0.23734160807722743,Normal
131.91,173,0,0,1,5,1,0.24508301360506501,Normal
120.15,173,0,0,1,5,1,0.24503019893823513,Normal
102.28,172,0,0,1,5,1,0.23721068667303136,Normal
63.55,171,0,0,1,5,1,0.19295086345149837,Normal
176.87,173,0,0,1,5,1,0.23790313557563603,Normal
206.93,173,0,0,1,5,1,0.22000947410516397,Normal
154.88,176,0,0,1,5,1,0.22020374987121083,Normal
69.57,173,0,0,1,5,1,0.22895878979327705,Normal
83.1,172,0,0,1,5,1,0.2295620600317282,Normal
199.65,173,0,0,1,5,1,0.22721068523754862,Normal
72.63,172,0,0,1,5,1,0.22960529518215045,Normal
147.71,173,0,0,1,5,1,0.24330026591468562,Normal
62.18,175,0,0,1,5,1,0.1979617245729685,Normal
170.59,173,0,0,1,5,1,0.23907433414090395,Normal
63.72,172,0,0,1,5,1,0.22444567816794658,Normal
