response_time_ms,message_size_bytes,worker_id_encoded,endpoint_encoded,status_encoded,hour,day_of_week
0.0,0,0,0,0,22,0
81.42,177,0,0,1,4,1
98.44,175,0,0,1,4,1
189.11,172,0,0,1,5,1
96.17,170,0,0,1,5,1
120.79,172,0,0,1,5,1
62.05,174,0,0,1,5,1
197.58,175,0,0,1,5,1
81.04,171,0,0,1,5,1
158.16,170,0,0,1,5,1
63.2,175,0,0,1,5,1
132.79,177,0,0,1,5,1
125.06,171,0,0,1,5,1
101.16,172,0,0,1,5,1
128.53,173,0,0,1,5,1
259.38,173,0,0,1,5,1
109.4,173,0,0,1,5,1
174.93,174,0,0,1,5,1
63.08,172,0,0,1,5,1
203.34,178,0,0,1,5,1
78.55,172,0,0,1,5,1
153.99,173,0,0,1,5,1
127.18,173,0,0,1,5,1
152.07,173,0,0,1,5,1
122.63,174,0,0,1,5,1
197.12,177,0,0,1,5,1
138.56,173,0,0,1,5,1
341.17,176,0,0,1,5,1
65.66,172,0,0,1,5,1
109.27,173,0,0,1,5,1
180.01,175,0,0,1,5,1
80.88,177,0,0,1,5,1
138.3,176,0,0,1,5,1
153.17,174,0,0,1,5,1
92.93,172,0,0,1,5,1
145.24,173,0,0,1,5,1
123.97,173,0,0,1,5,1
69.66,177,0,0,1,5,1
87.78,177,0,0,1,5,1
92.22,177,0,0,1,5,1
68.77,172,0,0,1,5,1
138.07,172,0,0,1,5,1
204.48,171,0,0,1,5,1
114.83,173,0,0,1,5,1
96.91,172,0,0,1,5,1
145.45,174,0,0,1,5,1
112.92,176,0,0,1,5,1
121.9,173,0,0,1,5,1
124.7,178,0,0,1,5,1
181.36,173,0,0,1,5,1
158.31,177,0,0,1,5,1
161.12,172,0,0,1,5,1
97.82,172,0,0,1,5,1
63.94,172,0,0,1,5,1
129.13,176,0,0,1,5,1
61.82,173,0,0,1,5,1
149.24,174,0,0,1,5,1
121.88,178,0,0,1,5,1
199.89,173,0,0,1,5,1
72.09,175,0,0,1,5,1
164.55,173,0,0,1,5,1
99.72,172,0,0,1,5,1
122.87,173,0,0,1,5,1
196.59,173,0,0,1,5,1
76.42,172,0,0,1,5,1
201.18,173,0,0,1,5,1
205.64,176,0,0,1,5,1
184.26,173,0,0,1,5,1
64.17,172,0,0,1,5,1
106.44,172,0,0,1,5,1
193.94,173,0,0,1,5,1
128.36,176,0,0,1,5,1
189.29,176,0,0,1,5,1
140.34,173,0,0,1,5,1
181.7,178,0,0,1,5,1
150.15,171,0,0,1,5,1
172.3,173,0,0,1,5,1
72.33,172,0,0,1,5,1
184.47,173,0,0,1,5,1
140.54,173,0,0,1,5,1
89.78,177,0,0,1,5,1
136.6,176,0,0,1,5,1
171.77,173,0,0,1,5,1
131.91,173,0,0,1,5,1
120.15,173,0,0,1,5,1
102.28,172,0,0,1,5,1
63.55,171,0,0,1,5,1
176.87,173,0,0,1,5,1
206.93,173,0,0,1,5,1
154.88,176,0,0,1,5,1
69.57,173,0,0,1,5,1
83.1,172,0,0,1,5,1
199.65,173,0,0,1,5,1
72.63,172,0,0,1,5,1
147.71,173,0,0,1,5,1
62.18,175,0,0,1,5,1
170.59,173,0,0,1,5,1
63.72,172,0,0,1,5,1
169.91,178,0,0,1,5,1
182.04,176,0,0,1,5,1
161.87,174,0,0,1,5,1
197.86,172,0,0,1,5,1
96.7,172,0,0,1,5,1
1506.42,187,0,0,1,6,1
64.12,5613,0,0,1,6,1
0.0,0,0,0,0,6,1
1699.82,170,0,0,1,6,1
0.0,0,0,0,0,6,1
1544.18,207,0,0,1,6,1
106.39,4969,0,0,1,6,1
1897.79,156,0,0,1,6,1
0.0,0,0,0,0,6,1
0.0,0,0,0,0,6,1
116.52,3013,0,0,1,6,1
1681.05,191,0,0,1,6,1
0.0,0,0,0,0,6,1
1721.31,5898,0,0,0,6,1
0.0,0,0,0,0,6,1
996.38,182,0,0,1,6,1
0.0,0,0,0,0,6,1
1571.02,6815,0,0,0,6,1
0.0,0,0,0,0,6,1
0.0,0,0,0,0,6,1
